stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,equipment,ext_juris,ext_lighting,ext_photo,ext_shelter,jurisdiction
1909,10893,12th St & Highland Av,NB 12th St & FS Highland Av,33.50595400,-112.05618300,,,0,,0,,,Phoenix," "," ",0,Phoenix
3629,10940,12th St & Highland Av,SB 12th St & FS Highland Av,33.50523100,-112.05638500,,,0,,0,,,Phoenix," "," ",0,Phoenix
1910,10889,12th St & Indian School Rd,NB 12th St & FS Indian School Rd,33.49523600,-112.05622800,,,0,,0,,,Phoenix," "," ",0,Phoenix
3630,10943,12th St & Indian School Rd,SB 12th St & FS Indian School Rd,33.49422100,-112.05642000,,,0,,0,,,Phoenix," "," ",0,Phoenix
1360,18483,12th St & Jefferson St,NB 12th St & NS Jefferson St,33.44678400,-112.05633100,,,0,,0,,,Phoenix," "," ",0,Phoenix
3631,10923,12th St & Lawrence Ln,SB 12th St & FS Lawrence Ln,33.56431900,-112.05673300,,,0,,0,,,Phoenix," "," ",0,Phoenix
40338,50012,12th St & Liberty Ln (Flag Zone),SB 12th St & NS Liberty Ln (Flag Zone),33.29537900,-112.05775500,,,0,,0,,0,,,,,Phoenix
1911,10900,12th St & Maryland Av,NB 12th St & FS Maryland Av,33.53126700,-112.05617300,,,0,,0,,,Phoenix," "," ",0,Phoenix
3632,10933,12th St & Maryland Av,SB 12th St & FS Maryland Av,33.53067300,-112.05637600,,,0,,0,,,Phoenix," "," ",0,Phoenix
1912,10877,12th St & McDowell Rd,NB 12th St & FS McDowell Rd,33.46634400,-112.05625800,,,0,,0,,,Phoenix," "," ",0,Phoenix
3633,10956,12th St & McDowell Rd,SB 12th St & FS McDowell Rd,33.46526900,-112.05645600,,,0,,0,,,Phoenix," "," ",0,Phoenix
1913,10896,12th St & Missouri Av,NB 12th St & FS Missouri Av,33.51714300,-112.05613700,,,0,,0,,,Phoenix," "," ",0,Phoenix
3634,10937,12th St & Missouri Av,SB 12th St & FS Missouri Av,33.51617000,-112.05636100,,,0,,0,,,Phoenix," "," ",0,Phoenix
1914,10897,12th St & Montebello Av,NB 12th St & FS Montebello Av,33.52036600,-112.05614600,,,0,,0,,,Phoenix," "," ",0,Phoenix
3635,10936,12th St & Montebello Av,SB 12th St & FS Montebello Av,33.51975800,-112.05631000,,,0,,0,,,Phoenix," "," ",0,Phoenix
1915,10903,12th St & Myrtle Av,NB 12th St & FS Myrtle Av,33.54225100,-112.05626700,,,0,,0,,,Phoenix," "," ",0,Phoenix
3636,10930,12th St & Myrtle Av,SB 12th St & FS Myrtle Av,33.54151400,-112.05641900,,,0,,0,,,Phoenix," "," ",0,Phoenix
1916,10907,12th St & Northern Av,NB 12th St & FS Northern Av,33.55334800,-112.05647900,,,0,,0,,,Phoenix," "," ",0,Phoenix
3637,10926,12th St & Northern Av,SB 12th St & FS Northern Av,33.55255700,-112.05670200,,,0,,0,,,Phoenix," "," ",0,Phoenix
1917,10879,12th St & Oak St,NB 12th St & FS Oak St,33.47334200,-112.05627900,,,0,,0,,,Phoenix," "," ",0,Phoenix
3638,10954,12th St & Oak St,SB 12th St & FS Oak St,33.47254500,-112.05647000,,,0,,0,,,Phoenix," "," ",0,Phoenix
1918,14867,12th St & Ocotillo Rd,NB 12th St & FS Ocotillo Rd,33.53490100,-112.05618200,,,0,,0,,,Phoenix,,,,Phoenix
3639,10932,12th St & Ocotillo Rd,SB 12th St & FS Ocotillo Rd,33.53431100,-112.05633900,,,0,,0,,,Phoenix," "," ",0,Phoenix
1919,10887,12th St & Osborn Rd,NB 12th St & FS Osborn Rd,33.48789400,-112.05627700,,,0,,0,,,Phoenix," "," ",0,Phoenix
1920,10878,12th St & Palm Ln,NB 12th St & NS Palm Ln,33.46896200,-112.05629400,,,0,,0,,,Phoenix," "," ",0,Phoenix
3640,10955,12th St & Palm Ln,SB 12th St & FS Palm Ln,33.46901000,-112.05647500,,,0,,0,,,Phoenix," "," ",0,Phoenix
1921,10899,12th St & Rose Ln,NB 12th St & FS Rose Ln,33.52758700,-112.05616500,,,0,,0,,,Phoenix," "," ",0,Phoenix
3641,10934,12th St & Rose Ln,SB 12th St & FS Rose Ln,33.52713900,-112.05632400,,,0,,0,,,Phoenix," "," ",0,Phoenix
1926,10904,12th St & State Av,NB 12th St & FS State Av,33.54440500,-112.05631400,,,0,,0,,,Phoenix," "," ",0,Phoenix
3642,10929,12th St & State Av,SB 12th St & FS State Av,33.54378300,-112.05645700,,,0,,0,,,Phoenix," "," ",0,Phoenix
1924,10881,12th St & Thomas Rd,NB 12th St & NS Thomas Rd,33.47961500,-112.05626700,,,0,,0,,,Phoenix," "," ",0,Phoenix
3643,10952,12th St & Thomas Rd,SB 12th St & FS Thomas Rd,33.47945900,-112.05645300,,,0,,0,,,Phoenix," "," ",0,Phoenix
1897,10891,12th St & Turney Av,NB 12th St & FS Turney Av,33.50059300,-112.05621900,,,0,,0,,,Phoenix," "," ",0,Phoenix
3644,15396,12th St & Turney Av,SB 12th St & FS Turney Av,33.49927900,-112.05638900,,,0,,0,,,Phoenix," "," ",0,Phoenix
1922,10880,12th St & Virginia Av,NB 12th St & FS Virginia Av,33.47694200,-112.05627700,,,0,,0,,,Phoenix," "," ",0,Phoenix
3647,10953,12th St & Virginia Av,SB 12th St & NS Virginia Av,33.47688000,-112.05646200,,,0,,0,,,Phoenix," "," ",0,Phoenix
1925,10905,12th St & Wagon Wheel Dr,NB 12th St & NS Wagon Wheel Dr,33.54625300,-112.05635200,,,0,,0,,,Phoenix," "," ",0,Phoenix
3618,10928,12th St & Wagon Wheel Dr,SB 12th St & FS Wagon Wheel Dr,33.54675800,-112.05652300,,,0,,0,,,Phoenix," "," ",0,Phoenix
