area_id,stop_id
67TH,7012
67TB,2541
67TB,4268
67TB,1736
67TB,9523
67UN,30236
67UN,30237
67UN,1769
67UN,7089
67VB,2542
67VB,4269
67VB,7520
67VB,8083
68MC,2554
68MC,4277
68MC,505
68OB,2556
68OB,4279
68OB,9615
68TH,2558
68TH,4281
68TH,778
68TH,5996
68TH,9376
6AWA,7167
70SH,5890
74MC,5764
BA75,20124
BA75,9074
BA75,9072
75BE,2563
75BU,1381
75BU,7693
75BU,9174
75BU,9196
75CA,195
75CA,9166
75CA,9202
TREV,4287
75EN,40019
75EN,40053
75EN,40348
75LB,1704
75LB,20127
75LB,1359
75LB,8785
75TH,1699
75VB,1461
75VB,1632
75VB,8087
75VB,8095
78MA,4294
79PR,2572
79&V,8089
79&V,8093
7ABA,7824
7ABA,1006
7ABA,6274
7ABE,1051
7ABE,6324
7ABH,2574
7ABH,4297
7ABH,1080
7ABH,6353
7ABD,2575
7ABD,4954
7ABU,2576
7ABU,4955
7ABU,1140
7ABU,6412
7ACA,2578
7ACA,4299
7ACA,1184
7ACA,6461
7ADE,7502
7ADE,7503
7ADO,6519
7ADU,4303
7ADU,1246
7ADU,6534
7AGL,2586
7AGL,4307
7AGL,1342
7AGL,6636
HA7A,1399
HA7A,6702
7AIN,2588
7AIN,4308
7AIN,1428
7AIN,6745
7AJE,1449
7AJE,7847
7ALB,2591
7ALB,4964
7AMC,2618
7AMC,4310
7AMC,1508
7AMC,6818
7ANO,2595
7ANO,4313
7ANO,1543
7ANO,6873
7ARE,2600
7ARE,4959
7ARE,1622
7ARE,6948
7ASO,2603
7ASO,4960
7ASO,1630
7ASO,6958
7ATH,2605
7ATH,4318
7ATH,1696
7ATH,7018
7AVB,1822
7AVB,7140
7AWA,7168
7AWA,7841
LR7ACA,9006
LR7ACA,9034
7SBA,20061
7SBA,3255
7SBA,42
7SBA,5380
BE7S,111
BE7S,5409
7SBD,3256
7SBD,4980
7SBD,150
7SBD,5449
7SBU,3274
7SBU,4981
7SBU,227
7SBU,5513
