from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838397-5746,PlainsINT-838195-5846
FB-0095-04,NEC-2192-02,1,,,,,,SWKDYWCPeriod-831409-792,SWKDYWCPeriod-816704-892
FB-0095-04,NEC-2192-02,1,,,,,,SWKDYWCPeriod-831410-784,SWKDYWCPeriod-816736-984
FB-0095-04,NEC-2192-02,1,,,,,,SWKDYWCPeriod-831413-776,SWKDYWCPeriod-816697-874
FB-0095-04,NEC-2192-02,1,,,,,,SWKDYWCPeriod-831419-1708,SWKDYWCPeriod-816708-908
FB-0095-04,NEC-2192-02,1,,,,,,SWKDYWCPeriod-831463-1756,SWKDYWCPeriod-816690-856
FB-0095-04,NEC-2192-02,1,,,,,,JFKStops-835037-5706,JFKStops-834885-5806
FB-0095-04,NEC-2192-02,1,,,,,,JFKStops-835093-5792,JFKStops-834903-5892
FB-0095-04,NEC-2192-02,1,,,,,,JFKStops-835095-5724,JFKStops-834888-5824
FB-0095-04,NEC-2192-02,1,,,,,,JFKStops-835109-5784,JFKStops-834901-5884
FB-0095-04,NEC-2192-02,1,,,,,,JFKStops-835112-5768,JFKStops-834898-5868
FB-0095-04,NEC-2192-02,1,,,,,,JFKStops-835113-5778,JFKStops-834900-5878
FB-0095-04,NEC-2192-02,1,,,,,,JFKStops-835115-5754,JFKStops-834896-5856
FB-0095-04,NEC-2192-02,1,,,,,,JFKStops-835117-5730,JFKStops-834889-5830
FB-0095-04,NEC-2192-02,1,,,,,,JFKStops-835119-5738,JFKStops-834891-5838
FB-0095-04,NEC-2192-02,1,,,,,,JFKStops-835121-5746,JFKStops-834893-5846
FB-0095-04,NEC-2192-02,1,,,,,,SouthBase-830508-776,SouthBase-826221-874
FB-0095-04,NEC-2192-02,1,,,,,,SouthBase-830531-1708,SouthBase-826232-908
FB-0095-04,NEC-2192-02,1,,,,,,SouthBase-830568-784,SouthBase-826260-984
FB-0095-04,NEC-2192-02,1,,,,,,SouthBase-830596-792,SouthBase-826228-892
FB-0095-04,NEC-2192-02,1,,,,,,SouthBase-830606-1756,SouthBase-826214-856
FB-0095-04,NEC-2192-02,1,,,,,,SouthBase-830375-5706,SouthBase-793087-5806
FB-0095-04,NEC-2192-02,1,,,,,,SouthBase-830431-5792,SouthBase-793105-5892
FB-0095-04,NEC-2192-02,1,,,,,,SouthBase-830433-5724,SouthBase-793090-5824
FB-0095-04,NEC-2192-02,1,,,,,,SouthBase-830447-5784,SouthBase-793103-5884
FB-0095-04,NEC-2192-02,1,,,,,,SouthBase-830450-5768,SouthBase-793100-5868
FB-0095-04,NEC-2192-02,1,,,,,,SouthBase-830451-5778,SouthBase-793102-5878
FB-0095-04,NEC-2192-02,1,,,,,,SouthBase-830453-5754,SouthBase-793098-5856
FB-0095-04,NEC-2192-02,1,,,,,,SouthBase-830455-5730,SouthBase-793091-5830
FB-0095-04,NEC-2192-02,1,,,,,,SouthBase-830457-5738,SouthBase-793093-5838
FB-0095-04,NEC-2192-02,1,,,,,,SouthBase-830459-5746,SouthBase-793095-5846
MM-0109-S,MM-0109-S,1,,,,,,SWKNDWCPeriod-831100-7047,SWKNDWCPeriod-831073-6047
MM-0109-S,MM-0109-S,1,,,,,,CP44-833816-7047,CP44-833789-6047
MM-0109-S,MM-0109-S,1,,,,,,PlainsINT-837188-2047,PlainsINT-837107-1047
MM-0109-S,MM-0109-S,1,,,,,,PlainsINT-838595-7047,PlainsINT-838622-6047
MM-0109-S,MM-0109-S,1,,,,,,PlainsINT-837741-2047,PlainsINT-837660-1047
MM-0109-S,MM-0109-S,1,,,,,,PlainsINT-838250-7047,PlainsINT-838223-6047
MM-0109-S,MM-0109-S,1,,,,,,SWKDYWCPeriod-816569-2047,SWKDYWCPeriod-816479-1047
MM-0109-S,MM-0109-S,1,,,,,,JFKStops-835129-7047,JFKStops-835156-6047
MM-0109-S,MM-0109-S,1,,,,,,WCGameDay-817880-2047,WCGameDay-817819-1047
MM-0109-S,MM-0109-S,1,,,,,,SouthBase-826075-2047,SouthBase-825916-1047
MM-0109-S,MM-0109-S,1,,,,,,SouthBase-793184-7047,SouthBase-793124-6047
NBM-0374-01,NBM-0374-02,1,,,,,,SWKNDWCPeriod-831095-7029,SWKNDWCPeriod-831085-6979
NBM-0374-01,NBM-0374-02,1,,,,,,CP44-833811-7029,CP44-833801-6979
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837144-1905,PlainsINT-837189-2055
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837146-1909,PlainsINT-837190-2059
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837147-1911,PlainsINT-837191-2061
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837149-1915,PlainsINT-837193-2065
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837150-1917,PlainsINT-837194-2067
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837151-1919,PlainsINT-837195-2069
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837152-1925,PlainsINT-837196-2075
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837155-1939,PlainsINT-837198-2089
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837175-2021,PlainsINT-837160-1971
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837182-2033,PlainsINT-837166-1983
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837184-2037,PlainsINT-837168-1987
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837186-2041,PlainsINT-837170-1991
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-838661-7029,PlainsINT-838653-6979
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837697-1905,PlainsINT-837742-2055
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837699-1909,PlainsINT-837743-2059
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837700-1911,PlainsINT-837744-2061
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837702-1915,PlainsINT-837746-2065
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837703-1917,PlainsINT-837747-2067
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837704-1919,PlainsINT-837748-2069
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837705-1925,PlainsINT-837749-2075
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837708-1939,PlainsINT-837751-2089
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837728-2021,PlainsINT-837713-1971
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837735-2033,PlainsINT-837719-1983
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837737-2037,PlainsINT-837721-1987
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-837739-2041,PlainsINT-837723-1991
NBM-0374-01,NBM-0374-02,1,,,,,,PlainsINT-838245-7029,PlainsINT-838235-6979
NBM-0374-01,NBM-0374-02,1,,,,,,SWKDYWCPeriod-816566-2037,SWKDYWCPeriod-816552-1987
NBM-0374-01,NBM-0374-02,1,,,,,,JFKStops-835195-7029,JFKStops-835187-6979
