added_route_id,trip_id
742,75642552
743,75642552
741,75642571
742,75642571
743,75642571
741,75642992
742,75642992
743,75642992
741,75642993
742,75642993
743,75642993
741,75642994
742,75642994
743,75642994
741,75642995
742,75642995
743,75642995
741,75642996
742,75642996
743,75642996
741,75642997
742,75642997
743,75642997
741,75642998
742,75642998
743,75642998
741,75642999
742,75642999
743,75642999
741,75643000
742,75643000
743,75643000
741,75643001
742,75643001
743,75643001
741,75643002
742,75643002
743,75643002
741,75643003
742,75643003
743,75643003
741,75643005
742,75643005
743,75643005
741,75624235
742,75624235
743,75624235
741,75624236
742,75624236
743,75624236
741,75624260
742,75624260
743,75624260
741,75624336
742,75624336
743,75624336
741,75624654
742,75624654
743,75624654
741,75624739
742,75624739
743,75624739
741,75624860
742,75624860
743,75624860
741,75625155
742,75625155
743,75625155
741,75625165
742,75625165
743,75625165
741,75625166
742,75625166
743,75625166
741,75625186
742,75625186
743,75625186
741,75625190
742,75625190
743,75625190
741,75625198
742,75625198
743,75625198
741,75625208
742,75625208
743,75625208
741,75625210
742,75625210
743,75625210
741,75625211
742,75625211
743,75625211
741,75625216
742,75625216
743,75625216
741,75625224
742,75625224
743,75625224
741,75625226
742,75625226
743,75625226
741,75625228
742,75625228
743,75625228
741,75625230
742,75625230
743,75625230
741,75625232
742,75625232
743,75625232
741,75625238
742,75625238
743,75625238
741,75625239
742,75625239
743,75625239
741,75625241
742,75625241
743,75625241
741,75625243
742,75625243
743,75625243
741,75625245
742,75625245
743,75625245
741,75625248
742,75625248
743,75625248
741,75625249
742,75625249
743,75625249
741,75625252
742,75625252
743,75625252
741,75625257
742,75625257
743,75625257
741,75625258
742,75625258
743,75625258
741,75625261
742,75625261
743,75625261
741,75625269
742,75625269
743,75625269
741,75625274
742,75625274
743,75625274
741,75625281
742,75625281
743,75625281
741,75625291
742,75625291
743,75625291
741,75625292
742,75625292
743,75625292
741,75625294
742,75625294
743,75625294
741,75625303
742,75625303
743,75625303
741,75625306
742,75625306
743,75625306
741,75625311
742,75625311
743,75625311
741,75625316
742,75625316
743,75625316
741,75625321
742,75625321
743,75625321
741,75625328
742,75625328
743,75625328
741,75625329
742,75625329
743,75625329
741,75625330
742,75625330
743,75625330
741,75625334
742,75625334
743,75625334
741,75625340
742,75625340
743,75625340
741,75625367
742,75625367
743,75625367
741,75625382
742,75625382
743,75625382
741,75625416
742,75625416
743,75625416
741,75625642
742,75625642
743,75625642
741,75625729
742,75625729
743,75625729
741,75626051
742,75626051
743,75626051
741,75626052
742,75626052
743,75626052
741,75626054
742,75626054
743,75626054
741,75626058
742,75626058
743,75626058
741,75626062
742,75626062
743,75626062
741,75626064
742,75626064
743,75626064
741,75626065
742,75626065
743,75626065
741,75626069
742,75626069
743,75626069
741,75626071
742,75626071
743,75626071
741,75626074
742,75626074
743,75626074
741,75626075
742,75626075
743,75626075
741,75626076
742,75626076
743,75626076
741,75626077
742,75626077
743,75626077
741,75626078
742,75626078
743,75626078
741,75626080
742,75626080
743,75626080
741,75631394
742,75631394
743,75631394
741,75631717
742,75631717
743,75631717
741,75631719
742,75631719
743,75631719
741,75631720
742,75631720
743,75631720
741,75631721
742,75631721
743,75631721
741,75631725
742,75631725
743,75631725
741,75631727
742,75631727
743,75631727
741,75631728
742,75631728
743,75631728
741,75631731
742,75631731
743,75631731
741,75631732
742,75631732
743,75631732
741,75631735
742,75631735
743,75631735
741,75631737
742,75631737
743,75631737
741,75631741
742,75631741
743,75631741
741,75631744
742,75631744
743,75631744
741,75631746
742,75631746
743,75631746
741,75631758
742,75631758
743,75631758
741,75631759
742,75631759
743,75631759
741,75631768
742,75631768
743,75631768
741,75631809
742,75631809
743,75631809
741,75631814
742,75631814
743,75631814
741,75631815
742,75631815
743,75631815
741,75631816
742,75631816
