route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,direction0_name,direction1_name,route_group,alt_route_type,ext_nextride_id,route_division
571,1,571,Surprise Express,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,VMW
573,1,573,West Glendale Express,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,VMW
575,1,575,North Glendale Express,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,VMW
685,1,685,Ajo/Gila Bend,3,,591769,FFFFFF,Northbound,Southbound,Rural Route,701,,VMRU-TB
ALEX,1,ALEX,Phoenix ALEX Circulator,3,,591769,FFFFFF,Eastbound,Westbound,Neighborhood Circulators,798,,PHNS
A,1,A,Valley Metro Rail A Line,0,,1E8ECD,000000,Eastbound,Westbound,Valley Metro Rail & Streetcar,903,102,VMR
B,1,B,Valley Metro Rail B Line,0,,B76912,000000,Northbound,Southbound,Valley Metro Rail & Streetcar,903,103,VMR
DASH,1,DASH,Phoenix Downtown DASH,3,,591769,FFFFFF,Eastbound,Westbound,Neighborhood Circulators,798,,PHNS
DBUZ,1,DBUZ,Mesa Downtown BUZZ,3,,591769,FFFFFF,Eastbound,Westbound,Neighborhood Circulators,798,,VMTM
EART,1,EART,Tempe Orbit Earth,3,,591769,FFFFFF,Eastbound,Westbound,Neighborhood Circulators,798,,VMTM
FBUZ,1,FBUZ,Mesa Fiesta BUZZ,3,,591769,FFFFFF,Northbound,Southbound,Neighborhood Circulators,798,,VMTM
FLSH,1,FLSH,Tempe FLASH,3,,591769,FFFFFF,Northbound,Southbound,Neighborhood Circulators,798,,VMTM
GAL,1,GAL,Grand Avenue Limited,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,VMW
GUS1,1,GUS1,Glendale Urban Shuttle 1,3,,591769,FFFFFF,Clockwise,Counterclockwise,Neighborhood Circulators,798,,GL
GUS2,1,GUS2,Glendale Urban Shuttle 2,3,,591769,FFFFFF,Clockwise,Counterclockwise,Neighborhood Circulators,798,,GL
GUS3,1,GUS3,Glendale Urban Shuttle 3,3,,591769,FFFFFF,Clockwise,Counterclockwise,Neighborhood Circulators,798,,GL
I10E,1,I10E,I-10 East RAPID,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,PHNS
I10W,1,I10W,I-10 West RAPID,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,PHNS
I17,1,I17,I-17 RAPID,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,PHNS
JUPI,1,JUPI,Tempe Orbit Jupiter,3,,591769,FFFFFF,Northbound,Southbound,Neighborhood Circulators,798,,VMTM
